iter	Passed	Remaining
0	134	133960
1	136	67937
2	137	45711
3	138	34552
4	139	27797
5	141	23481
6	144	20496
7	146	18106
8	147	16221
9	149	14784
10	150	13509
11	151	12459
12	152	11607
13	153	10804
14	154	10135
15	156	9600
16	158	9144
17	159	8685
18	160	8276
19	161	7924
20	162	7582
21	163	7279
22	165	7017
23	166	6755
24	166	6510
25	167	6288
26	168	6081
27	169	5886
28	170	5707
29	171	5557
30	173	5407
31	174	5264
32	175	5130
33	176	5001
34	177	4882
35	178	4768
36	179	4659
37	179	4555
38	180	4453
39	181	4359
40	182	4267
41	183	4180
42	183	4094
43	184	4016
44	185	3937
45	186	3863
46	186	3790
47	187	3722
48	188	3654
49	188	3590
50	189	3529
51	190	3468
52	190	3411
53	191	3357
54	192	3304
55	193	3255
56	193	3204
57	194	3156
58	194	3109
59	195	3063
60	196	3020
61	196	2978
62	197	2937
63	198	2897
64	198	2858
65	199	2823
66	200	2788
67	201	2758
68	202	2725
69	202	2694
70	203	2662
71	204	2631
72	204	2600
73	205	2571
74	206	2543
75	206	2515
76	207	2488
77	208	2461
78	208	2435
79	209	2408
80	210	2384
81	210	2359
82	211	2332
83	211	2309
84	212	2286
85	213	2264
86	213	2243
87	214	2223
88	215	2204
89	216	2185
90	216	2166
91	217	2147
92	218	2128
93	218	2109
94	219	2091
95	220	2072
96	220	2055
97	221	2037
98	221	2019
99	222	2002
100	223	1985
101	223	1969
102	224	1954
103	225	1939
104	225	1924
105	226	1909
106	227	1894
107	227	1879
108	228	1866
109	229	1853
110	229	1840
111	230	1828
112	231	1816
113	232	1804
114	232	1791
115	233	1778
116	233	1765
117	234	1752
118	235	1741
119	235	1729
120	236	1717
121	237	1706
122	237	1695
123	238	1684
124	239	1673
125	239	1662
126	240	1651
127	240	1641
128	241	1631
129	242	1620
130	242	1611
131	243	1601
132	244	1591
133	244	1581
134	245	1573
135	246	1563
136	246	1555
137	247	1546
138	248	1537
139	248	1529
140	249	1520
141	249	1510
142	250	1501
143	251	1492
144	251	1484
145	252	1476
146	253	1468
147	253	1461
148	254	1453
149	255	1446
150	255	1438
151	256	1430
152	257	1423
153	257	1416
154	258	1409
155	259	1401
156	259	1394
157	260	1387
158	261	1380
159	261	1374
160	262	1367
161	263	1361
162	263	1354
163	264	1347
164	265	1341
165	265	1334
166	266	1328
167	266	1322
168	267	1316
169	268	1310
170	269	1304
171	269	1298
172	270	1293
173	271	1287
174	271	1281
175	272	1276
176	273	1271
177	274	1265
178	274	1259
179	275	1254
180	276	1249
181	277	1245
182	277	1240
183	278	1235
184	279	1230
185	280	1225
186	280	1220
187	281	1214
188	281	1209
189	282	1204
190	283	1199
191	283	1194
192	284	1189
193	285	1184
194	285	1179
195	286	1174
196	287	1170
197	287	1165
198	288	1161
199	289	1157
200	290	1153
201	290	1149
202	291	1145
203	292	1141
204	293	1136
205	293	1131
206	294	1127
207	294	1122
208	295	1117
209	295	1113
210	296	1110
211	297	1105
212	298	1101
213	298	1097
214	299	1092
215	299	1088
216	300	1084
217	301	1080
218	301	1076
219	302	1072
220	303	1068
221	303	1064
222	304	1060
223	305	1056
224	305	1052
225	306	1049
226	307	1045
227	307	1042
228	308	1038
229	309	1035
230	309	1031
231	310	1027
232	311	1024
233	311	1020
234	312	1016
235	313	1013
236	313	1009
